params,strict_success,loose_success,avg_sim_success,avg_sim_tanimoto,avg_steps
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.309462915601023,0.3375959079283887,0.7360079659521961,0.5613416758997704,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.30434782608695654,0.35038363171355497,0.7209152230360493,0.5933863968359279,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.2864450127877238,0.319693094629156,0.7321620211310098,0.5688990444119968,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2907075873827792,0.3307757885763001,0.7282020103111236,0.5504013322100545,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2932651321398124,0.3307757885763001,0.7324027065405898,0.5651280118838145,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2591645353793691,0.2872975277067349,0.7348628143350179,0.5124216517552433,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.226768968456948,0.24893435635123615,0.7483489295934442,0.5249677054460808,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.29923273657289,0.33844842284739984,0.7228993581897655,0.5785790831771156,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.27877237851662406,0.3171355498721228,0.7205619822576111,0.5686871229680786,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.2796248934356351,0.329923273657289,0.7142366242238083,0.48779875511245935,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2830349531116795,0.3205456095481671,0.7242258990374185,0.5169536281768617,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2966751918158568,0.329923273657289,0.730262258946048,0.5753670483159463,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.2898550724637681,0.3213981244671782,0.733730348350106,0.546846082230521,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.26342710997442453,0.2915601023017903,0.7345804725344367,0.5563169261238581,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.31628303495311166,0.35294117647058826,0.7273217861460557,0.5568209713983873,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.27791986359761295,0.30861040068201195,0.7361022859855992,0.5737226179958943,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2753623188405797,0.30264279624893436,0.7410035512797549,0.5799976991865268,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2864450127877238,0.319693094629156,0.7345426279192081,0.561832774760249,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.30434782608695654,0.33418584825234443,0.7312311774298156,0.5490542301769193,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.2830349531116795,0.32395566922421143,0.7243649991771397,0.5286128779193043,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.2932651321398124,0.3410059676044331,0.7153577747800006,0.5801223032395527,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.22847399829497017,0.2412617220801364,0.7672658143604084,0.5743440141753107,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.30434782608695654,0.34782608695652173,0.7206890643177051,0.5457141423759586,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.3034953111679454,0.34271099744245526,0.7287478967459083,0.5978422701818085,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.22250639386189258,0.236999147485081,0.7575823326839372,0.5610043168369137,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.31287297527706737,0.3640238704177323,0.7195638830054598,0.5768025763319997,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.3034953111679454,0.34867860187553285,0.7189404957656957,0.5268434755263156,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024, 'w_tox': 200.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.3137254901960784,0.3537936913895993,0.7302856374122144,0.559674131921476,1.0
