params,strict_success,loose_success,avg_sim_success,avg_steps
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 512}",0.29752770673486784,0.3358908780903666,0.7268941356744583,1.0
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 1024}",0.2693947144075021,0.2847399829497016,0.7467183415303652,1.0
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 128, 'hidden_dim': 2048}",0.20630861040068202,0.22762148337595908,0.7506796619813815,1.0
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 256}",0.21909633418584826,0.23273657289002558,0.7552200880309955,1.0
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 512}",0.2557544757033248,0.27877237851662406,0.7428425179001229,1.0
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 1024}",0.21568627450980393,0.2318840579710145,0.7543065669979008,1.0
"{'lr': 0.001, 'gamma': 0.99, 'batch_size': 256, 'hidden_dim': 2048}",0.2728047740835465,0.3034953111679454,0.739663502455935,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 256}",0.19437340153452684,0.21227621483375958,0.7516570115871771,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 512}",0.2796248934356351,0.3111679454390452,0.7351362524859139,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 1024}",0.29923273657289,0.3358908780903666,0.7267377255866655,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 2048}",0.30434782608695654,0.3350383631713555,0.7395662896187972,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 256}",0.2753623188405797,0.309462915601023,0.7258623528004301,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 512}",0.2932651321398124,0.329923273657289,0.7307944351155353,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 1024}",0.27450980392156865,0.30264279624893436,0.7329700891978369,1.0
"{'lr': 0.0003, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 2048}",0.2693947144075021,0.2966751918158568,0.7278950759613695,1.0
